Test_Family,n_total,G1_n_sig,G2_n_sig,G3_n_sig,G4_n_sig,G5_n_sig,G6_n_sig,G7_n_sig,G8_n_sig,G1_mean_effect,G2_mean_effect,G3_mean_effect,G4_mean_effect,G5_mean_effect,G6_mean_effect,G7_mean_effect,G8_mean_effect
Drug_Effect,2,0,0,0,0,0,0,0,0,0.4405025634557864,0.646345414445765,0.30379100390711317,0.4860468983756384,0.5981490191270106,1.088708188006092,1.1580642625214512,0.7720285946868489
Full_Interaction,4,1,1,0,0,1,1,1,0,0.7565384824438941,0.5445858528906019,0.4405695870826918,0.5805303756449842,0.561164093258535,1.1507033990537645,1.361801998432925,1.384293013979613
Genotype_Effect,2,1,1,1,0,1,1,1,1,0.8618837887732633,0.646345414445765,0.486162448141218,0.6120248680680994,0.5981490191270106,1.1713684694029889,1.429714577070083,1.5883811537438675
