"Condition","loc_coord","loc_id","plate","seconds","normalized_sums"
"MUT+DMSO","E11",59,2,1,0.00434874804913702
"MUT+DMSO","E12",60,1,1,0
"MUT+DMSO","E12",60,2,1,0.771120004072976
"WT+DMSO","F1",61,1,1,0.000173949921965481
"WT+DMSO","F1",61,2,1,1.5006659767962
"WT+DMSO","F2",62,1,1,0
"WT+DMSO","F2",62,2,1,0.00260924882948221
"Mut1","F3",63,1,1,0.555596050757746
"Mut1","F3",63,2,1,0.267013130217013
"Mut1","F4",64,1,1,0.366164585737337
"Mut1","F4",64,2,1,1.42586751035105
"Mut2","F5",65,1,1,0.00191344914162029
"Mut2","F5",65,2,1,0.125243943815146
"Mut2","F6",66,1,1,0
"Mut2","F6",66,2,1,0.00243529890751673
"Mut3","F7",67,1,1,0
"Mut3","F7",67,2,1,0.00243529890751673
"Mut3","F8",68,1,1,0.539592657936921
"Mut3","F8",68,2,1,0.482711033454209
"Mut4","F9",69,1,1,0
"Mut4","F9",69,2,1,0.00487059781503346
"Mut4","F10",70,1,1,0.70554088349199
"Mut4","F10",70,2,1,0.0240050892312363
"MUT+DMSO","F11",71,1,1,0.111849799823804
"MUT+DMSO","F11",71,2,1,0.269970278890426
"MUT+DMSO","F12",72,1,1,0
"MUT+DMSO","F12",72,2,1,0.0805388138700176
"WT+DMSO","G1",73,1,1,0.177081020560859
"WT+DMSO","G1",73,2,1,3.66129795752944
"WT+DMSO","G2",74,1,1,0.693886238720303
"WT+DMSO","G2",74,2,1,0.858964714665544
"Mut1","G3",75,1,1,0.0652312207370553
"Mut1","G3",75,2,1,0.278319875144769
"Mut1","G4",76,1,1,0.00382689828324058
"Mut1","G4",76,2,1,0.00713194680058471
"Mut2","G5",77,1,1,0.00765379656648115
"Mut2","G5",77,2,1,0.0118285946936527
"Mut2","G6",78,1,1,0
"Mut2","G6",78,2,1,0.267534979982909
"Mut3","G7",79,1,1,0.00591429734682635
"Mut3","G7",79,2,1,0.00139159937572385
"Mut3","G8",80,1,1,0.34372504580379
"Mut3","G8",80,2,1,0.801735190338901
"Mut4","G9",81,1,1,0.000173949921965481
"Mut4","G9",81,2,1,1.10475595440277
"Mut4","G10",82,1,1,0.745027515778154
