"Condition","n_samples","exp_sums","mean","median","sd","sem","CI_lower","CI_upper"
"WT+DMSO",32,20.8091073149646,0.650284603592643,0.339028397910722,0.963583129940377,0.17033904135445,0.316420082537921,0.984149124647364
"Mut1",32,14.5959640022015,0.456123875068798,0.192301638732839,0.646499606025565,0.114286063863777,0.232123189895794,0.680124560241801
"Mut2",32,15.3554293615028,0.479857167546963,0.0909758091879464,0.979411932386561,0.173137204741389,0.14050824625384,0.819206088840086
"Mut3",32,15.8052638597055,0.493914495615798,0.16090367781807,0.76428000419401,0.135106893422717,0.229104984507273,0.758724006724323
"Mut4",32,18.8398202483934,0.588744382762292,0.182299518219824,1.09862424183721,0.194211162844755,0.208090503586573,0.969398261938011
"MUT+DMSO",32,8.44492081158016,0.26390377536188,0.115937622989993,0.36804811231906,0.0650623290059288,0.136381610510259,0.391425940213501
