"Condition","n_samples","exp_sums","mean","median","sd","sem","CI_lower","CI_upper"
"WT+DMSO",32,14.3896518258018,0.449676619556307,0.356075518189527,0.295139580890955,0.0521737997611374,0.347415972024477,0.551937267088136
"Mut1",32,12.3082637284476,0.384633241513987,0.226774762136847,0.401495769872597,0.0709750953736567,0.24552205458162,0.523744428446354
"Mut2",32,15.0702628396895,0.470945713740298,0.267823467941617,0.485698205738704,0.0858601237219941,0.30265987124519,0.639231556235407
"Mut3",32,16.2340296568914,0.507313426777858,0.362130135614922,0.450595713268542,0.0796548211064438,0.351189977409228,0.663436876146487
"Mut4",32,14.5147583589904,0.453586198718451,0.344879810417238,0.416694671186411,0.0736619069200524,0.309208861155148,0.597963536281753
"MUT+DMSO",32,12.1005663456654,0.378142698302045,0.243091556013434,0.310928650848978,0.0549649393701241,0.270411417136601,0.485873979467488
