"Condition","n_samples","exp_sums","mean","median","sd","sem","CI_lower","CI_upper"
"WT+DMSO",32,12.4547216581174,0.389210051816169,0.315167158971186,0.32583989259414,0.0576008994086032,0.276312288975307,0.502107814657031
"Mut1",32,9.71539077761985,0.30360596180062,0.174270232865532,0.379715727287994,0.0671248914221305,0.172041174613244,0.435170748987996
"Mut2",32,16.0398118349972,0.501244119843662,0.296355719507214,0.553350445885121,0.0978194631644922,0.309517972041257,0.692970267646067
"Mut3",32,13.5312799406941,0.422852498146692,0.293560445369998,0.427760019786537,0.075618002677888,0.274641212898031,0.571063783395352
"Mut4",32,12.2581081191416,0.383065878723174,0.240015836052366,0.459612670176342,0.081248808950237,0.223818213180709,0.542313544265638
"MUT+DMSO",32,11.0351001361596,0.344846879254987,0.276146642974634,0.327576560372506,0.0579079017992909,0.231347391728377,0.458346366781597
