"Condition","loc_coord","loc_id","plate","seconds","normalized_sums"
"WT+DMSO","A1",1,1,1,0.534790698831333
"WT+DMSO","A1",1,2,1,0.231560123034624
"WT+DMSO","A2",2,1,1,0.176438435020912
"WT+DMSO","A2",2,2,1,0.302495075141225
"Mut1","A3",3,1,1,0.470434391476553
"Mut1","A3",3,2,1,0.209127353042387
"Mut1","A4",4,1,1,0.0815179893160535
"Mut1","A4",4,2,1,0.336981883653881
"Mut2","A5",5,1,1,0.131327728151276
"Mut2","A5",5,2,1,0.376494613312339
"Mut2","A6",6,1,1,0.247209942537405
"Mut2","A6",6,2,1,0.257016617943848
"Mut3","A7",7,1,1,0.312465195137775
"Mut3","A7",7,2,1,0.598207199792994
"Mut3","A8",8,1,1,0.531644390471766
"Mut3","A8",8,2,1,0.573322760949146
"Mut4","A9",9,1,1,0.982669736873068
"Mut4","A9",9,2,1,0.0466634304756557
"Mut4","A10",10,1,1,0.560492360625717
"Mut4","A10",10,2,1,0.0548765211285513
"MUT+DMSO","A11",11,1,1,0.652675109446277
"MUT+DMSO","A11",11,2,1,0.283290335803609
"MUT+DMSO","A12",12,1,1,0.185754776657032
"MUT+DMSO","A12",12,2,1,0.567234449967646
"WT+DMSO","B1",13,1,1,0.477666814588805
"WT+DMSO","B1",13,2,1,0.202385263700458
"WT+DMSO","B2",14,1,1,0.294077678750695
"WT+DMSO","B2",14,2,1,0.184692386821334
"Mut1","B3",15,1,1,0.661215089279387
"Mut1","B3",15,2,1,0.00053119491784897
"Mut1","B4",16,1,1,0.389488458225876
"Mut1","B4",16,2,1,0.302576797436279
"Mut2","B5",17,1,1,1.33669071904564
"Mut2","B5",17,2,1,0.320800869233251
"Mut2","B6",18,1,1,0.600250257169336
"Mut2","B6",18,2,1,0.0203488514683682
"Mut3","B7",19,1,1,0.259263981057824
"Mut3","B7",19,2,1,0.109017541601619
"Mut3","B8",20,1,1,0.290563620063387
"Mut3","B8",20,2,1,0.417233177396603
"Mut4","B9",21,1,1,1.79315059806802
"Mut4","B9",21,2,1,0.182404162559831
"Mut4","B10",22,1,1,0.751640808756293
"Mut4","B10",22,2,1,0.297469153995423
"MUT+DMSO","B11",23,1,1,0.12765022487386
"MUT+DMSO","B11",23,2,1,0.420706374936384
"MUT+DMSO","B12",24,1,1,0.640907098958546
"MUT+DMSO","B12",24,2,1,0.0447838176894209
"WT+DMSO","C1",25,1,1,0.63334778666608
"WT+DMSO","C1",25,2,1,0.360517904629343
"WT+DMSO","C2",26,1,1,0.0401256468713607
"WT+DMSO","C2",26,2,1,0.20753376828884
"Mut1","C3",27,1,1,0
"Mut1","C3",27,2,1,0.348300421518817
"Mut1","C4",28,1,1,0.0106647595045062
"Mut1","C4",28,2,1,0.376984947082662
"Mut2","C5",29,1,1,1.33767138658629
"Mut2","C5",29,2,1,0.332241990540767
"Mut2","C6",30,1,1,0.000245166885161063
"Mut2","C6",30,2,1,0.95856165983223
"Mut3","C7",31,1,1,0.99223124539435
"Mut3","C7",31,2,1,0.230334288608819
"Mut3","C8",32,1,1,0
"Mut3","C8",32,2,1,4.08611475268439e-05
"Mut4","C9",33,1,1,0
"Mut4","C9",33,2,1,0
"Mut4","C10",34,1,1,0.000367750327741595
"Mut4","C10",34,2,1,0.0829072683319662
"MUT+DMSO","C11",35,1,1,0.279204221050924
"MUT+DMSO","C11",35,2,1,0.0825803791517515
"MUT+DMSO","C12",36,1,1,0.299103599896497
"MUT+DMSO","C12",36,2,1,0.261307038434167
"WT+DMSO","D1",37,1,1,0.51268481801931
"WT+DMSO","D1",37,2,1,0.384871148555342
"WT+DMSO","D2",38,1,1,0.462956801479141
"WT+DMSO","D2",38,2,1,0.0474806534261926
"Mut1","D3",39,1,1,0.0556937440790882
"Mut1","D3",39,2,1,0.0615368881754269
"Mut1","D4",40,1,1,0
"Mut1","D4",40,2,1,0.0611282767001584
"Mut2","D5",41,1,1,0.638373707811882
"Mut2","D5",41,2,1,0.317000782513255
"Mut2","D6",42,1,1,0.730842484665129
"Mut2","D6",42,2,1,0.00322803065462067
"Mut3","D7",43,1,1,1.31168369675921
"Mut3","D7",43,2,1,0.15833694666652
"Mut3","D8",44,1,1,0.506269617857595
"Mut3","D8",44,2,1,0.118619911270428
"Mut4","D9",45,1,1,1.53637914700933
"Mut4","D9",45,2,1,0
"Mut4","D10",46,1,1,1.3567126813338
"Mut4","D10",46,2,1,0.00964323081633515
"MUT+DMSO","D11",47,1,1,0.490333770322126
