"Condition","n_samples","exp_sums","mean","median","sd","sem","CI_lower","CI_upper"
"WT+DMSO",32,12.5367721173011,0.391774128665659,0.302331630551118,0.286846414126714,0.050707761147011,0.292386916817517,0.4911613405138
"Mut1",32,10.7156316331772,0.334863488536787,0.184896692558969,0.438571000453774,0.0775291321131579,0.182906389594997,0.486820587478576
"Mut2",32,18.0098368004891,0.562807400015285,0.326521429887009,0.608859628948856,0.107632193105115,0.351848301529259,0.773766498501311
"Mut3",32,14.4340369192675,0.451063653727109,0.347197170535592,0.38699023706998,0.0684108552212931,0.316978377493375,0.585148929960843
"Mut4",32,12.7981608780303,0.399942527438447,0.260755412942554,0.462275936714521,0.0817196124075503,0.239772087119648,0.560112967757245
"MUT+DMSO",32,10.8893323713138,0.340291636603556,0.246392719586868,0.329854181698222,0.0583105321703881,0.226002993549595,0.454580279657516
