"Condition","loc_coord","loc_id","plate","Phase","Group","seconds_total","exp_sums","mean","sd","sem","median","iqr","CI_lower","CI_upper","phase_con_mean","phase_con_sd","phase_con_sem"
"WT+DMSO","B1",13,1,"Dark","1",91,32610,358.351648351648,423.394965949877,44.3838522749649,272,553.5,271.359297892717,445.343998810579,370.533997252747,243.19531836663,42.9912646924663
"WT+DMSO","B1",13,2,"Dark","1",91,16933,186.076923076923,260.352335233503,27.2923405230423,19,277.5,132.58393565176,239.569910502086,370.533997252747,243.19531836663,42.9912646924663
"WT+DMSO","B2",14,1,"Dark","1",91,23654,259.934065934066,256.218127652453,26.8589578111348,207,353,207.290508624242,312.57762324389,370.533997252747,243.19531836663,42.9912646924663
"WT+DMSO","B2",14,2,"Dark","1",91,11895,130.714285714286,220.571292869438,23.1221541731181,0,233,85.3948635349743,176.033707893597,370.533997252747,243.19531836663,42.9912646924663
"Mut1","B3",15,1,"Dark","1",91,48148,529.098901098901,356.331620044059,37.3537034136743,504,439.5,455.8856424081,602.312159789703,316.938186813187,330.832927533015,58.4835516245981
"Mut1","B3",15,2,"Dark","1",91,2400,26.3736263736264,58.7029524814266,6.15374149570868,0,4,14.3122930420374,38.4349597052154,316.938186813187,330.832927533015,58.4835516245981
"Mut1","B4",16,1,"Dark","1",91,29991,329.571428571429,315.980419325036,33.1237482279468,223,351,264.648882044653,394.493975098204,316.938186813187,330.832927533015,58.4835516245981
"Mut1","B4",16,2,"Dark","1",91,17129,188.230769230769,195.516187276602,20.4956654455745,163,299.5,148.059264957443,228.402273504095,316.938186813187,330.832927533015,58.4835516245981
"Mut2","B5",17,1,"Dark","1",91,50031,549.791208791209,371.659387566493,38.9604900411309,462,414,473.428648310592,626.153769271825,388.059752747253,400.215821334946,70.748830301021
"Mut2","B5",17,2,"Dark","1",91,19765,217.197802197802,252.700007465164,26.4901586065247,170,359.5,165.277091329014,269.118513066591,388.059752747253,400.215821334946,70.748830301021
"Mut2","B6",18,1,"Dark","1",91,19105,209.945054945055,322.437706736161,33.8006558758907,38,355,143.695769428309,276.194340461801,388.059752747253,400.215821334946,70.748830301021
"Mut2","B6",18,2,"Dark","1",91,5269,57.9010989010989,154.096294204851,16.1536808609985,0,30,26.2398844135419,89.5623133886559,388.059752747253,400.215821334946,70.748830301021
"Mut3","B7",19,1,"Dark","1",91,20524,225.538461538462,287.281291021431,30.1152621251663,157,304.5,166.512547773136,284.564375303787,418.026785714286,371.29133141742,65.6356545602598
