time	Loc01	Loc02	Loc03	Loc04	Loc05	Loc06	Loc07	Loc08	Loc09	Loc10	Loc11	Loc12	Loc13	Loc14	Loc15	Loc16	Loc17	Loc18	Loc19	Loc20	Loc21	Loc22	Loc23	Loc24	Loc25	Loc26	Loc27	Loc28	Loc29	Loc30	Loc31	Loc32	Loc33	Loc34	Loc35	Loc36	Loc37	Loc38	Loc39	Loc40	Loc41	Loc42	Loc43	Loc44	Loc45	Loc46	Loc47	Loc48	Loc49	Loc50	Loc51	Loc52	Loc53	Loc54	Loc55	Loc56	Loc57	Loc58	Loc59	Loc60	Loc61	Loc62	Loc63	Loc64	Loc65	Loc66	Loc67	Loc68	Loc69	Loc70	Loc71	Loc72	Loc73	Loc74	Loc75	Loc76	Loc77	Loc78	Loc79	Loc80	Loc81	Loc82	Loc83	Loc84	Loc85	Loc86	Loc87	Loc88	Loc89	Loc90	Loc91	Loc92	Loc93	Loc94	Loc95	Loc96
0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	17	0	43	0	207	55	0	0	157	7	164	86	0	64	0	0	0	20	54	0	0	99	0	4	0	0	0	0	0	0	35	0	0	0	0	0	0	0	115	48	48	12	17	0	21	0	0	1	0	0	66	0	0	0	7	0	3	0	0
33533	41	0	114	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	210	0	31	0	117	51	0	0	57	1	106	60	0	58	0	0	63	7	59	0	0	72	0	2	0	0	0	0	0	0	138	0	0	42	0	4	7	0	104	31	28	90	3	0	18	0	0	0	0	0	45	1	0	5	0	0	1	0	0
66385	31	0	105	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	106	5	0	0	87	0	0	0	82	0	0	0	0	0	0	0	0	0	111	0	23	64	60	98	0	0	33	0	104	162	0	28	0	0	103	2	34	0	0	60	0	1	0	0	0	0	0	0	112	140	133	64	0	102	116	0	158	20	3	54	0	0	14	7	0	0	0	0	51	2	71	108	0	0	0	0	0
99880	15	0	54	0	0	0	0	80	0	0	1	0	0	0	0	0	135	0	0	71	4	0	0	88	0	0	0	160	0	0	0	0	0	0	0	0	0	95	0	17	328	25	56	0	48	15	0	73	129	0	12	0	0	84	0	15	0	0	40	0	26	0	0	0	0	0	65	75	186	81	32	0	146	158	0	115	183	97	7	0	0	12	53	28	0	0	0	34	0	75	73	0	0	0	0	0
133016	13	0	41	0	0	0	0	126	0	0	0	0	0	0	0	0	134	0	0	61	3	0	0	79	0	99	0	131	0	0	0	0	0	0	0	0	0	50	0	14	344	15	98	0	91	11	0	32	81	0	4	0	0	48	0	6	0	0	14	0	83	0	0	0	0	0	48	35	184	87	39	0	99	171	0	101	148	97	3	0	0	8	130	62	0	0	0	1	0	42	20	0	0	0	0	0
166326	1	0	29	0	0	0	0	103	0	0	0	0	0	0	0	0	85	0	0	37	2	0	0	39	0	97	0	45	0	0	0	0	0	0	0	0	0	31	0	9	393	12	33	0	74	5	0	19	173	0	2	0	0	25	0	1	0	0	0	0	37	0	0	0	0	0	27	16	159	46	57	0	46	118	0	33	107	77	2	0	0	4	105	39	0	0	0	105	0	29	0	0	0	0	0	0
199660	0	0	8	0	0	0	0	85	0	0	0	0	0	21	0	0	84	0	0	16	1	0	0	107	0	115	0	122	0	0	0	0	0	129	0	0	0	43	0	8	501	13	3	0	56	3	0	14	115	0	0	0	0	79	0	0	0	0	0	0	33	0	0	0	0	0	1	12	95	23	19	0	29	21	0	24	61	59	19	0	0	2	37	12	0	52	0	72	0	3	0	0	0	0	0	0
233003	0	0	1	0	0	0	0	53	0	0	0	0	0	54	0	0	68	0	0	0	1	0	0	58	0	60	0	110	0	0	1	0	0	345	0	0	0	129	0	5	280	9	2	0	43	0	0	10	100	0	0	0	0	170	2	0	0	0	0	0	300	0	0	0	0	0	0	8	57	17	28	0	21	10	0	50	30	100	17	0	0	50	11	24	0	106	0	61	0	126	0	0	0	26	0	0
266793	0	0	0	0	0	0	0	38	0	0	0	0	0	38	0	0	38	0	0	0	0	0	0	27	0	31	0	148	0	0	115	0	0	260	0	4	0	141	0	4	161	10	7	0	44	0	0	7	59	0	0	0	0	54	126	0	0	0	147	0	232	0	0	0	0	0	0	4	31	10	44	0	15	15	0	89	8	55	83	0	0	34	2	78	0	88	0	36	0	92	0	0	0	56	0	0
299973	0	0	0	0	0	0	0	32	0	0	0	0	0	13	0	42	27	0	0	0	0	0	0	22	0	19	0	162	123	0	81	0	0	188	0	98	0	119	0	1	50	18	1	0	39	92	0	2	19	0	0	0	0	12	54	0	112	0	107	0	235	0	0	0	0	0	123	1	25	6	47	0	8	116	0	138	59	98	127	1	0	39	138	168	0	55	0	20	0	55	0	0	0	49	0	0
333040	0	0	0	0	0	0	0	25	0	0	0	0	27	0	0	99	11	0	0	0	0	2	0	10	0	6	0	191	96	0	72	0	0	119	0	101	0	79	0	1	21	33	70	0	27	81	0	1	11	0	0	0	0	5	68	0	59	0	143	0	175	0	0	0	0	0	102	0	29	1	40	0	2	217	0	18	29	99	88	121	0	31	216	129	0	6	0	19	0	23	0	0	0	43	0	0
