"location","bin","time","data1","data2","loc_id","Condition","loc_coord"
"Loc01","(85.4,86.4]",86,0,0,1,"WT+DMSO","A1"
"Loc01","(86.4,87.4]",87,534,0,1,"WT+DMSO","A1"
"Loc01","(87.4,88.4]",88,441,0,1,"WT+DMSO","A1"
"Loc01","(88.4,89.4]",89,0,0,1,"WT+DMSO","A1"
"Loc01","(89.4,90.4]",90,0,0,1,"WT+DMSO","A1"
"Loc01","(90.4,91.4]",91,0,0,1,"WT+DMSO","A1"
"Loc01","(91.4,92.4]",92,0,0,1,"WT+DMSO","A1"
"Loc01","(92.4,93.4]",93,0,0,1,"WT+DMSO","A1"
"Loc01","(93.4,94.4]",94,0,0,1,"WT+DMSO","A1"
"Loc01","(94.4,95.4]",95,0,0,1,"WT+DMSO","A1"
"Loc01","(95.4,96.4]",96,0,0,1,"WT+DMSO","A1"
"Loc01","(96.4,97.4]",97,0,0,1,"WT+DMSO","A1"
"Loc01","(97.4,98.4]",98,0,0,1,"WT+DMSO","A1"
"Loc01","(98.4,99.4]",99,0,0,1,"WT+DMSO","A1"
"Loc01","(99.4,100]",100,0,0,1,"WT+DMSO","A1"
"Loc01","(100,101]",101,0,0,1,"WT+DMSO","A1"
"Loc01","(101,102]",102,0,0,1,"WT+DMSO","A1"
"Loc01","(102,103]",103,0,0,1,"WT+DMSO","A1"
"Loc01","(103,104]",104,0,0,1,"WT+DMSO","A1"
"Loc01","(104,105]",105,0,0,1,"WT+DMSO","A1"
"Loc01","(105,106]",106,0,0,1,"WT+DMSO","A1"
"Loc01","(106,107]",107,0,0,1,"WT+DMSO","A1"
"Loc01","(107,108]",108,0,0,1,"WT+DMSO","A1"
"Loc01","(108,109]",109,0,0,1,"WT+DMSO","A1"
"Loc01","(109,110]",110,0,0,1,"WT+DMSO","A1"
"Loc01","(110,111]",111,0,0,1,"WT+DMSO","A1"
"Loc01","(111,112]",112,0,0,1,"WT+DMSO","A1"
"Loc01","(112,113]",113,0,0,1,"WT+DMSO","A1"
"Loc01","(113,114]",114,0,97,1,"WT+DMSO","A1"
"Loc01","(114,115]",115,0,0,1,"WT+DMSO","A1"
"Loc01","(115,116]",116,0,0,1,"WT+DMSO","A1"
"Loc01","(116,117]",117,0,0,1,"WT+DMSO","A1"
"Loc01","(117,118]",118,0,0,1,"WT+DMSO","A1"
"Loc01","(118,119]",119,0,0,1,"WT+DMSO","A1"
"Loc01","(119,121]",120,0,0,1,"WT+DMSO","A1"
"Loc01","(121,122]",121,1225,165,1,"WT+DMSO","A1"
"Loc01","(122,123]",123,282,48,1,"WT+DMSO","A1"
"Loc01","(123,124]",124,468,910,1,"WT+DMSO","A1"
"Loc01","(124,125]",125,263,1153,1,"WT+DMSO","A1"
"Loc01","(125,126]",126,263,503,1,"WT+DMSO","A1"
"Loc01","(126,127]",127,2363,747,1,"WT+DMSO","A1"
"Loc01","(127,128]",128,312,0,1,"WT+DMSO","A1"
"Loc01","(128,129]",129,183,304,1,"WT+DMSO","A1"
"Loc01","(129,130]",130,745,177,1,"WT+DMSO","A1"
"Loc01","(130,131]",131,968,627,1,"WT+DMSO","A1"
"Loc01","(131,132]",132,1011,477,1,"WT+DMSO","A1"
"Loc01","(132,133]",133,824,0,1,"WT+DMSO","A1"
"Loc01","(133,134]",134,735,252,1,"WT+DMSO","A1"
"Loc01","(134,135]",135,933,50,1,"WT+DMSO","A1"
"Loc01","(135,136]",136,130,202,1,"WT+DMSO","A1"
"Loc01","(136,137]",137,767,0,1,"WT+DMSO","A1"
"Loc01","(137,138]",138,178,108,1,"WT+DMSO","A1"
"Loc01","(138,139]",139,474,234,1,"WT+DMSO","A1"
"Loc01","(139,140]",140,617,0,1,"WT+DMSO","A1"
"Loc01","(140,141]",141,563,243,1,"WT+DMSO","A1"
"Loc01","(141,142]",142,379,246,1,"WT+DMSO","A1"
"Loc01","(142,143]",143,0,302,1,"WT+DMSO","A1"
"Loc01","(143,144]",144,181,0,1,"WT+DMSO","A1"
"Loc01","(144,145]",145,0,266,1,"WT+DMSO","A1"
"Loc01","(145,146]",146,521,600,1,"WT+DMSO","A1"
"Loc01","(146,147]",147,267,290,1,"WT+DMSO","A1"
"Loc01","(147,148]",148,0,180,1,"WT+DMSO","A1"
"Loc01","(148,149]",149,569,229,1,"WT+DMSO","A1"
"Loc01","(149,150]",150,166,233,1,"WT+DMSO","A1"
"Loc01","(150,151]",151,495,100,1,"WT+DMSO","A1"
"Loc01","(151,152]",152,630,0,1,"WT+DMSO","A1"
"Loc01","(152,153]",153,289,92,1,"WT+DMSO","A1"
"Loc01","(153,154]",154,1059,157,1,"WT+DMSO","A1"
"Loc01","(154,155]",155,140,190,1,"WT+DMSO","A1"
"Loc01","(155,156]",156,256,268,1,"WT+DMSO","A1"
"Loc01","(156,157]",157,263,226,1,"WT+DMSO","A1"
"Loc01","(157,158]",158,709,0,1,"WT+DMSO","A1"
"Loc01","(158,159]",159,687,77,1,"WT+DMSO","A1"
"Loc01","(159,160]",160,310,91,1,"WT+DMSO","A1"
"Loc01","(160,161]",161,852,128,1,"WT+DMSO","A1"
"Loc01","(161,162]",162,815,0,1,"WT+DMSO","A1"
"Loc01","(162,163]",163,247,0,1,"WT+DMSO","A1"
"Loc01","(163,164]",164,465,157,1,"WT+DMSO","A1"
"Loc01","(164,165]",165,914,401,1,"WT+DMSO","A1"
"Loc01","(165,166]",166,0,0,1,"WT+DMSO","A1"
"Loc01","(166,167]",167,1018,254,1,"WT+DMSO","A1"
"Loc01","(167,168]",168,8,22,1,"WT+DMSO","A1"
"Loc01","(168,169]",169,713,534,1,"WT+DMSO","A1"
"Loc01","(169,170]",170,54,0,1,"WT+DMSO","A1"
"Loc01","(170,171]",171,1097,1035,1,"WT+DMSO","A1"
"Loc01","(171,172]",172,48,0,1,"WT+DMSO","A1"
"Loc01","(172,173]",173,299,187,1,"WT+DMSO","A1"
"Loc01","(173,174]",174,72,2,1,"WT+DMSO","A1"
"Loc01","(174,175]",175,457,0,1,"WT+DMSO","A1"
"Loc01","(175,176]",176,299,0,1,"WT+DMSO","A1"
"Loc01","(176,177]",177,221,0,1,"WT+DMSO","A1"
"Loc01","(177,178]",178,402,488,1,"WT+DMSO","A1"
"Loc01","(178,179]",179,489,576,1,"WT+DMSO","A1"
"Loc01","(179,180]",180,552,108,1,"WT+DMSO","A1"
"Loc01","(180,181]",181,0,228,1,"WT+DMSO","A1"
"Loc01","(181,182]",182,619,212,1,"WT+DMSO","A1"
"Loc01","(182,183]",183,710,341,1,"WT+DMSO","A1"
"Loc01","(183,184]",184,620,70,1,"WT+DMSO","A1"
"Loc01","(184,185]",185,503,880,1,"WT+DMSO","A1"
"Loc01","(185,186]",186,266,253,1,"WT+DMSO","A1"
"Loc01","(186,187]",187,487,170,1,"WT+DMSO","A1"
"Loc01","(187,188]",188,0,0,1,"WT+DMSO","A1"
"Loc01","(188,189]",189,901,0,1,"WT+DMSO","A1"
"Loc01","(189,190]",190,449,0,1,"WT+DMSO","A1"
"Loc01","(190,191]",191,87,201,1,"WT+DMSO","A1"
"Loc01","(191,192]",192,653,155,1,"WT+DMSO","A1"
"Loc01","(192,193]",193,1248,395,1,"WT+DMSO","A1"
"Loc01","(193,194]",194,265,58,1,"WT+DMSO","A1"
"Loc01","(194,195]",195,480,186,1,"WT+DMSO","A1"
"Loc01","(195,196]",196,383,0,1,"WT+DMSO","A1"
"Loc01","(196,197]",197,1162,299,1,"WT+DMSO","A1"
"Loc01","(197,198]",198,127,221,1,"WT+DMSO","A1"
"Loc01","(198,199]",199,475,379,1,"WT+DMSO","A1"
"Loc01","(199,200]",200,763,123,1,"WT+DMSO","A1"
"Loc01","(200,201]",201,279,5,1,"WT+DMSO","A1"
"Loc01","(201,202]",202,0,662,1,"WT+DMSO","A1"
"Loc01","(202,203]",203,250,0,1,"WT+DMSO","A1"
"Loc01","(203,204]",204,127,0,1,"WT+DMSO","A1"
"Loc01","(204,205]",205,51,112,1,"WT+DMSO","A1"
"Loc01","(205,206]",206,76,264,1,"WT+DMSO","A1"
"Loc01","(206,207]",207,183,85,1,"WT+DMSO","A1"
"Loc01","(207,208]",208,673,176,1,"WT+DMSO","A1"
"Loc01","(208,209]",209,526,0,1,"WT+DMSO","A1"
"Loc01","(209,210]",210,725,192,1,"WT+DMSO","A1"
"Loc01","(210,211]",211,366,37,1,"WT+DMSO","A1"
"Loc01","(211,212]",212,1074,786,1,"WT+DMSO","A1"
"Loc01","(212,213]",213,917,0,1,"WT+DMSO","A1"
"Loc01","(213,214]",214,1001,0,1,"WT+DMSO","A1"
"Loc01","(214,215]",215,1293,363,1,"WT+DMSO","A1"
"Loc01","(215,216]",216,893,26,1,"WT+DMSO","A1"
"Loc01","(216,217]",217,991,412,1,"WT+DMSO","A1"
"Loc01","(217,218]",218,152,480,1,"WT+DMSO","A1"
"Loc01","(218,219]",219,317,241,1,"WT+DMSO","A1"
"Loc01","(219,220]",220,535,124,1,"WT+DMSO","A1"
"Loc01","(220,221]",221,23,252,1,"WT+DMSO","A1"
"Loc01","(221,222]",222,614,200,1,"WT+DMSO","A1"
"Loc01","(222,223]",223,773,329,1,"WT+DMSO","A1"
"Loc01","(223,224]",224,302,188,1,"WT+DMSO","A1"
"Loc01","(224,225]",225,400,0,1,"WT+DMSO","A1"
"Loc01","(225,226]",226,242,89,1,"WT+DMSO","A1"
"Loc01","(226,227]",227,605,194,1,"WT+DMSO","A1"
"Loc01","(227,228]",228,528,0,1,"WT+DMSO","A1"
"Loc01","(228,229]",229,340,96,1,"WT+DMSO","A1"
"Loc01","(229,230]",230,478,866,1,"WT+DMSO","A1"
"Loc01","(230,231]",231,383,0,1,"WT+DMSO","A1"
"Loc01","(231,232]",232,1054,0,1,"WT+DMSO","A1"
"Loc01","(232,233]",233,725,379,1,"WT+DMSO","A1"
"Loc01","(233,234]",234,0,1627,1,"WT+DMSO","A1"
"Loc01","(234,235]",235,685,11,1,"WT+DMSO","A1"
"Loc01","(235,236]",236,315,275,1,"WT+DMSO","A1"
"Loc01","(236,237]",237,728,200,1,"WT+DMSO","A1"
"Loc01","(237,238]",238,1047,384,1,"WT+DMSO","A1"
"Loc01","(238,239]",239,181,431,1,"WT+DMSO","A1"
"Loc01","(239,240]",240,457,281,1,"WT+DMSO","A1"
"Loc02","(-0.24,1]",1,227,0,2,"WT+DMSO","A2"
"Loc02","(1,2.01]",2,166,385,2,"WT+DMSO","A2"
"Loc02","(2.01,3.01]",3,0,4,2,"WT+DMSO","A2"
"Loc02","(3.01,4.02]",4,163,0,2,"WT+DMSO","A2"
"Loc02","(4.02,5.02]",5,207,0,2,"WT+DMSO","A2"
"Loc02","(5.02,6.03]",6,626,0,2,"WT+DMSO","A2"
"Loc02","(6.03,7.03]",7,245,529,2,"WT+DMSO","A2"
"Loc02","(7.03,8.03]",8,247,150,2,"WT+DMSO","A2"
"Loc02","(8.03,9.04]",9,75,204,2,"WT+DMSO","A2"
"Loc02","(9.04,10]",10,0,353,2,"WT+DMSO","A2"
"Loc02","(10,11]",11,312,166,2,"WT+DMSO","A2"
"Loc02","(11,12.1]",12,25,53,2,"WT+DMSO","A2"
"Loc02","(12.1,13.1]",13,199,0,2,"WT+DMSO","A2"
"Loc02","(13.1,14.1]",14,363,0,2,"WT+DMSO","A2"
"Loc02","(14.1,15.1]",15,0,1,2,"WT+DMSO","A2"
"Loc02","(15.1,16.1]",16,369,286,2,"WT+DMSO","A2"
"Loc02","(16.1,17.1]",17,52,0,2,"WT+DMSO","A2"
"Loc02","(17.1,18.1]",18,88,853,2,"WT+DMSO","A2"
"Loc02","(18.1,19.1]",19,539,0,2,"WT+DMSO","A2"
"Loc02","(19.1,20.1]",20,0,1238,2,"WT+DMSO","A2"
"Loc02","(20.1,21.1]",21,187,0,2,"WT+DMSO","A2"
"Loc02","(21.1,22.1]",22,257,0,2,"WT+DMSO","A2"
"Loc02","(22.1,23.1]",23,197,0,2,"WT+DMSO","A2"
"Loc02","(23.1,24.1]",24,496,0,2,"WT+DMSO","A2"
"Loc02","(24.1,25.1]",25,1201,1487,2,"WT+DMSO","A2"
"Loc02","(25.1,26.1]",26,0,113,2,"WT+DMSO","A2"
"Loc02","(26.1,27.1]",27,143,483,2,"WT+DMSO","A2"
"Loc02","(27.1,28.1]",28,0,0,2,"WT+DMSO","A2"
"Loc02","(28.1,29.1]",29,361,0,2,"WT+DMSO","A2"
"Loc02","(29.1,30.1]",30,213,576,2,"WT+DMSO","A2"
"Loc02","(30.1,31.1]",31,0,0,2,"WT+DMSO","A2"
"Loc02","(31.1,32.1]",32,1781,0,2,"WT+DMSO","A2"
"Loc02","(32.1,33.1]",33,0,0,2,"WT+DMSO","A2"
"Loc02","(33.1,34.1]",34,0,289,2,"WT+DMSO","A2"
"Loc02","(34.1,35.1]",35,408,25,2,"WT+DMSO","A2"
"Loc02","(35.1,36.2]",36,0,584,2,"WT+DMSO","A2"
"Loc02","(36.2,37.2]",37,137,99,2,"WT+DMSO","A2"
"Loc02","(37.2,38.2]",38,351,369,2,"WT+DMSO","A2"
"Loc02","(38.2,39.2]",39,1129,0,2,"WT+DMSO","A2"
"Loc02","(39.2,40.2]",40,215,0,2,"WT+DMSO","A2"
"Loc02","(40.2,41.2]",41,1,219,2,"WT+DMSO","A2"
"Loc02","(41.2,42.2]",42,210,74,2,"WT+DMSO","A2"
"Loc02","(42.2,43.2]",43,26,0,2,"WT+DMSO","A2"
"Loc02","(43.2,44.2]",44,0,0,2,"WT+DMSO","A2"
"Loc02","(44.2,45.2]",45,0,54,2,"WT+DMSO","A2"
"Loc02","(45.2,46.2]",46,872,396,2,"WT+DMSO","A2"
"Loc02","(46.2,47.2]",47,28,0,2,"WT+DMSO","A2"
"Loc02","(47.2,48.2]",48,0,332,2,"WT+DMSO","A2"
"Loc02","(48.2,49.2]",49,760,166,2,"WT+DMSO","A2"
"Loc02","(49.2,50.2]",50,0,292,2,"WT+DMSO","A2"
"Loc02","(50.2,51.2]",51,0,46,2,"WT+DMSO","A2"
"Loc02","(51.2,52.2]",52,0,110,2,"WT+DMSO","A2"
"Loc02","(52.2,53.2]",53,299,20,2,"WT+DMSO","A2"
"Loc02","(53.2,54.2]",54,158,2,2,"WT+DMSO","A2"
"Loc02","(54.2,55.2]",55,0,122,2,"WT+DMSO","A2"
"Loc02","(55.2,56.2]",56,202,1,2,"WT+DMSO","A2"
"Loc02","(56.2,57.2]",57,0,218,2,"WT+DMSO","A2"
"Loc02","(57.2,58.2]",58,0,0,2,"WT+DMSO","A2"
"Loc02","(58.2,59.2]",59,237,111,2,"WT+DMSO","A2"
"Loc02","(59.2,60.3]",60,619,173,2,"WT+DMSO","A2"
"Loc02","(60.3,61.3]",61,1051,87,2,"WT+DMSO","A2"
"Loc02","(61.3,62.3]",62,138,0,2,"WT+DMSO","A2"
"Loc02","(62.3,63.3]",63,0,0,2,"WT+DMSO","A2"
"Loc02","(63.3,64.3]",64,0,0,2,"WT+DMSO","A2"
"Loc02","(64.3,65.3]",65,0,0,2,"WT+DMSO","A2"
"Loc02","(65.3,66.3]",66,0,0,2,"WT+DMSO","A2"
"Loc02","(66.3,67.3]",67,0,0,2,"WT+DMSO","A2"
"Loc02","(67.3,68.3]",68,0,0,2,"WT+DMSO","A2"
"Loc02","(68.3,69.3]",69,0,0,2,"WT+DMSO","A2"
"Loc02","(69.3,70.3]",70,0,0,2,"WT+DMSO","A2"
"Loc02","(70.3,71.3]",71,0,0,2,"WT+DMSO","A2"
"Loc02","(71.3,72.3]",72,0,0,2,"WT+DMSO","A2"
"Loc02","(72.3,73.3]",73,0,0,2,"WT+DMSO","A2"
"Loc02","(73.3,74.3]",74,0,0,2,"WT+DMSO","A2"
"Loc02","(74.3,75.3]",75,0,0,2,"WT+DMSO","A2"
"Loc02","(75.3,76.3]",76,0,0,2,"WT+DMSO","A2"
"Loc02","(76.3,77.3]",77,0,0,2,"WT+DMSO","A2"
"Loc02","(77.3,78.3]",78,0,0,2,"WT+DMSO","A2"
"Loc02","(78.3,79.3]",79,0,0,2,"WT+DMSO","A2"
"Loc02","(79.3,80.3]",80,0,2538,2,"WT+DMSO","A2"
"Loc02","(80.3,81.3]",81,0,4337,2,"WT+DMSO","A2"
"Loc02","(81.3,82.3]",82,0,1472,2,"WT+DMSO","A2"
"Loc02","(82.3,83.3]",83,166,0,2,"WT+DMSO","A2"
"Loc02","(83.3,84.4]",84,0,0,2,"WT+DMSO","A2"
"Loc02","(84.4,85.4]",85,0,0,2,"WT+DMSO","A2"
"Loc02","(85.4,86.4]",86,0,0,2,"WT+DMSO","A2"
"Loc02","(86.4,87.4]",87,0,0,2,"WT+DMSO","A2"
"Loc02","(87.4,88.4]",88,284,0,2,"WT+DMSO","A2"
"Loc02","(88.4,89.4]",89,46,0,2,"WT+DMSO","A2"
"Loc02","(89.4,90.4]",90,0,0,2,"WT+DMSO","A2"
"Loc02","(90.4,91.4]",91,283,0,2,"WT+DMSO","A2"
"Loc02","(91.4,92.4]",92,134,0,2,"WT+DMSO","A2"
"Loc02","(92.4,93.4]",93,0,0,2,"WT+DMSO","A2"
"Loc02","(93.4,94.4]",94,0,0,2,"WT+DMSO","A2"
"Loc02","(94.4,95.4]",95,451,0,2,"WT+DMSO","A2"
"Loc02","(95.4,96.4]",96,271,0,2,"WT+DMSO","A2"
"Loc02","(96.4,97.4]",97,4,0,2,"WT+DMSO","A2"
"Loc02","(97.4,98.4]",98,0,746,2,"WT+DMSO","A2"
"Loc02","(98.4,99.4]",99,0,66,2,"WT+DMSO","A2"
"Loc02","(99.4,100]",100,0,0,2,"WT+DMSO","A2"
"Loc02","(100,101]",101,0,0,2,"WT+DMSO","A2"
"Loc02","(101,102]",102,0,0,2,"WT+DMSO","A2"
"Loc02","(102,103]",103,0,0,2,"WT+DMSO","A2"
"Loc02","(103,104]",104,0,0,2,"WT+DMSO","A2"
"Loc02","(104,105]",105,0,0,2,"WT+DMSO","A2"
"Loc02","(105,106]",106,0,0,2,"WT+DMSO","A2"
"Loc02","(106,107]",107,0,0,2,"WT+DMSO","A2"
"Loc02","(107,108]",108,0,0,2,"WT+DMSO","A2"
"Loc02","(108,109]",109,0,0,2,"WT+DMSO","A2"
"Loc02","(109,110]",110,0,0,2,"WT+DMSO","A2"
"Loc02","(110,111]",111,0,0,2,"WT+DMSO","A2"
"Loc02","(111,112]",112,0,0,2,"WT+DMSO","A2"
"Loc02","(112,113]",113,0,514,2,"WT+DMSO","A2"
"Loc02","(113,114]",114,0,7,2,"WT+DMSO","A2"
"Loc02","(114,115]",115,0,0,2,"WT+DMSO","A2"
"Loc02","(115,116]",116,0,0,2,"WT+DMSO","A2"
"Loc02","(116,117]",117,0,0,2,"WT+DMSO","A2"
"Loc02","(117,118]",118,0,0,2,"WT+DMSO","A2"
"Loc02","(118,119]",119,0,0,2,"WT+DMSO","A2"
"Loc02","(119,121]",120,0,0,2,"WT+DMSO","A2"
"Loc02","(121,122]",121,0,292,2,"WT+DMSO","A2"
"Loc02","(122,123]",123,584,300,2,"WT+DMSO","A2"
"Loc02","(123,124]",124,539,359,2,"WT+DMSO","A2"
"Loc02","(124,125]",125,1429,0,2,"WT+DMSO","A2"
"Loc02","(125,126]",126,1042,0,2,"WT+DMSO","A2"
"Loc02","(126,127]",127,0,1,2,"WT+DMSO","A2"
"Loc02","(127,128]",128,0,510,2,"WT+DMSO","A2"
"Loc02","(128,129]",129,0,307,2,"WT+DMSO","A2"
"Loc02","(129,130]",130,0,0,2,"WT+DMSO","A2"
"Loc02","(130,131]",131,0,0,2,"WT+DMSO","A2"
"Loc02","(131,132]",132,0,0,2,"WT+DMSO","A2"
"Loc02","(132,133]",133,132,0,2,"WT+DMSO","A2"
"Loc02","(133,134]",134,622,0,2,"WT+DMSO","A2"
"Loc02","(134,135]",135,332,0,2,"WT+DMSO","A2"
"Loc02","(135,136]",136,0,401,2,"WT+DMSO","A2"
"Loc02","(136,137]",137,220,569,2,"WT+DMSO","A2"
"Loc02","(137,138]",138,194,74,2,"WT+DMSO","A2"
"Loc02","(138,139]",139,0,363,2,"WT+DMSO","A2"
"Loc02","(139,140]",140,196,140,2,"WT+DMSO","A2"
"Loc02","(140,141]",141,25,430,2,"WT+DMSO","A2"
"Loc02","(141,142]",142,138,178,2,"WT+DMSO","A2"
"Loc02","(142,143]",143,189,0,2,"WT+DMSO","A2"
"Loc02","(143,144]",144,413,0,2,"WT+DMSO","A2"
"Loc02","(144,145]",145,0,163,2,"WT+DMSO","A2"
"Loc02","(145,146]",146,0,43,2,"WT+DMSO","A2"
"Loc02","(146,147]",147,0,0,2,"WT+DMSO","A2"
"Loc02","(147,148]",148,268,180,2,"WT+DMSO","A2"
"Loc02","(148,149]",149,62,364,2,"WT+DMSO","A2"
"Loc02","(149,150]",150,253,0,2,"WT+DMSO","A2"
"Loc02","(150,151]",151,1,1079,2,"WT+DMSO","A2"
"Loc02","(151,152]",152,204,687,2,"WT+DMSO","A2"
"Loc02","(152,153]",153,0,0,2,"WT+DMSO","A2"
"Loc02","(153,154]",154,192,0,2,"WT+DMSO","A2"
"Loc02","(154,155]",155,190,0,2,"WT+DMSO","A2"
"Loc02","(155,156]",156,0,0,2,"WT+DMSO","A2"
"Loc02","(156,157]",157,123,494,2,"WT+DMSO","A2"
"Loc02","(157,158]",158,0,159,2,"WT+DMSO","A2"
"Loc02","(158,159]",159,187,249,2,"WT+DMSO","A2"
"Loc02","(159,160]",160,1791,0,2,"WT+DMSO","A2"
