"Condition","time","Phase","Group","n_samples","exp_sums","mean","median","iqr","sd","sem","CI_lower","CI_upper"
"Mut4",230,"200Hz","2",32,7015,219.21875,0,354,340.751705495933,60.2369604142639,101.154307588043,337.283192411957
"Mut4",231,"200Hz","2",32,11377,355.53125,204,590.75,414.359278760789,73.2490639648302,211.963084628933,499.099415371067
"Mut4",232,"200Hz","2",32,11699,365.59375,40.5,633.25,496.896877688371,87.8397879409673,193.427765635704,537.759734364296
"Mut4",233,"200Hz","2",32,10388,324.625,234,393.5,389.411777246226,68.838927091178,189.700702901291,459.549297098709
"Mut4",234,"200Hz","2",32,12202,381.3125,74,405.25,605.181307809966,106.981951649943,171.627874766113,590.997125233887
"Mut4",235,"200Hz","2",32,11836,369.875,2,436.25,647.342545309469,114.435075884721,145.582251265946,594.167748734054
"Mut4",236,"200Hz","2",32,11855,370.46875,147.5,393.75,542.297322590394,95.865528555744,182.572314030742,558.365185969258
"Mut4",237,"200Hz","2",32,10432,326,163.5,455.5,465.377058364089,82.2678184444738,164.755075848831,487.244924151169
"Mut4",238,"200Hz","2",32,14467,452.09375,156.5,391.75,701.566742479449,124.020650265544,209.013275479534,695.174224520466
"Mut4",239,"200Hz","2",32,9157,286.15625,75.5,349.75,437.929889025187,77.4157985534955,134.421284835149,437.891215164851
"Mut4",240,"200Hz","2",32,13884,433.875,140,544.25,634.297719351247,112.129054661107,214.10205286423,653.64794713577
"MUT+DMSO",211,"200Hz","2",32,10110,315.9375,66,514.25,544.816271931456,96.3108200958767,127.168292612082,504.706707387918
"MUT+DMSO",212,"200Hz","2",32,6136,191.75,103,293.75,237.561672807498,41.9953674480504,109.439079801821,274.060920198179
"MUT+DMSO",213,"200Hz","2",32,7885,246.40625,101.5,340.25,337.181473046977,59.6058265204966,129.578830019827,363.233669980173
"MUT+DMSO",214,"200Hz","2",32,10750,335.9375,29,509.5,530.174161129182,93.7224361360835,152.241525173276,519.633474826724
"MUT+DMSO",215,"200Hz","2",32,9068,283.375,106.5,309.75,427.39441254065,75.5533718371837,135.29039119912,431.45960880088
"MUT+DMSO",216,"200Hz","2",32,12733,397.90625,197,553,528.805370585131,93.4804658671528,214.684536900381,581.127963099619
"MUT+DMSO",217,"200Hz","2",32,13057,408.03125,169,583.75,571.435796883322,101.016531747234,210.038847775422,606.023652224578
"MUT+DMSO",218,"200Hz","2",32,8216,256.75,32,406.25,378.577984466319,66.9237650060174,125.579420588206,387.920579411794
"MUT+DMSO",219,"200Hz","2",32,9822,306.9375,158.5,381.25,427.448464163961,75.5629269045279,158.834163267125,455.040836732875
"MUT+DMSO",220,"200Hz","2",32,14634,457.3125,252,613.25,675.749688219708,119.456796731213,223.177178406823,691.447821593177
"MUT+DMSO",221,"200Hz","2",32,7790,243.4375,1.5,369.5,402.936474421657,71.2297783627384,103.827134409033,383.047865590967
"MUT+DMSO",222,"200Hz","2",32,8181,255.65625,105,335.25,388.581175093566,68.6920959875245,121.019741864452,390.292758135548
"MUT+DMSO",223,"200Hz","2",32,7211,225.34375,149,407,271.76811859057,48.0422698914254,131.180901012806,319.506598987194
"MUT+DMSO",224,"200Hz","2",32,10929,341.53125,246.5,437.75,409.475666642819,72.3857551535048,199.655169899131,483.407330100869
"MUT+DMSO",225,"200Hz","2",32,8134,254.1875,66.5,267,563.32809654307,99.5832792746288,59.0042726217276,449.370727378272
"MUT+DMSO",226,"200Hz","2",32,11724,366.375,110,368.5,677.95036215669,119.845824597218,131.477183789453,601.272816210547
"MUT+DMSO",227,"200Hz","2",32,5630,175.9375,26,322.5,258.310757771807,45.6633221184701,86.4373886477986,265.437611352201
"MUT+DMSO",228,"200Hz","2",32,8710,272.1875,156.5,401.75,357.392206848623,63.1786132514717,148.357418027116,396.017581972884
"MUT+DMSO",229,"200Hz","2",32,10247,320.21875,115.5,357.5,490.352785074833,86.682944875031,150.320178044939,490.117321955061
"MUT+DMSO",230,"200Hz","2",32,8540,266.875,144,459.5,346.916253722385,61.3267088777328,146.674650599644,387.075349400356
"MUT+DMSO",231,"200Hz","2",32,13217,413.03125,212.5,603.75,512.304816294349,90.5635524090657,235.526687278231,590.535812721769
"MUT+DMSO",232,"200Hz","2",32,9104,284.5,192,408.75,308.622328964519,54.5572354090992,177.567818598166,391.432181401834
"MUT+DMSO",233,"200Hz","2",32,8326,260.1875,175.5,371.5,392.691739688213,69.4187480123694,124.126753895756,396.248246104244
"MUT+DMSO",234,"200Hz","2",32,9477,296.15625,100,369.5,432.044510055798,76.3754007087186,146.460464610911,445.852035389089
"MUT+DMSO",235,"200Hz","2",32,8346,260.8125,118,451,334.252988743363,59.0881387430757,144.999748063572,376.625251936428
"MUT+DMSO",236,"200Hz","2",32,11169,349.03125,81,361.25,632.429186874934,111.79874166489,129.905716336816,568.156783663184
"MUT+DMSO",237,"200Hz","2",32,10421,325.65625,243,461.75,365.607281759823,64.6308470458879,198.97978979006,452.33271020994
"MUT+DMSO",238,"200Hz","2",32,8397,262.40625,78.5,339.25,386.184968165641,68.2685024455589,128.599985206705,396.212514793295
"MUT+DMSO",239,"200Hz","2",32,11148,348.375,230.5,451.75,445.837794169222,78.8137318915772,193.900085492509,502.849914507491
"MUT+DMSO",240,"200Hz","2",32,13023,406.96875,282.5,490.5,509.080732831564,89.993609589154,230.581275205258,583.356224794742
